candidate_id,scaffold_id,pdb_id,method,seed,parent_identity,designed_position_identity,conditional_log_likelihood,mean_conditional_log_likelihood,perplexity,fixed_position_violations,core_recovery,rna_interface_recovery,rna_second_shell_recovery,hepn_recovery,rna_atomic_context,homopolymer_failure,low_complexity_failure,is_mock,evidence_level
ligandmpnn-EsCas13d-6E9F-seed20260802,EsCas13d,6E9F,ligandmpnn,20260802,0.40670859538784065,0.2649350649350649,-2160.3028844351065,-2.500350560688781,12.186765412835262,0,0.4268774703557312,0.78125,0.3111111111111111,1.0,True,False,False,False,2
esm_ligand_consensus-EsCas13d-6E9F-seed20260802,EsCas13d,6E9F,esm_ligand_consensus,20260802,0.4109014675052411,0.2701298701298701,-1754.160108178563,-2.030277902984448,7.6162026301483685,0,0.4762845849802372,0.828125,0.4222222222222222,1.0,True,False,False,False,2
common_safety_mask_esm_if1-UrCas13d-6IV9-seed20260801,UrCas13d,6IV9,common_safety_mask_esm_if1,20260801,0.42190889370932755,0.28263795423956933,-1437.8985355096702,-1.645192832390927,5.182009069808665,0,0.4680483592400691,1.0,0.38620689655172413,1.0,False,False,True,False,2
conservation_esm_if1-UrCas13d-6IV9-seed20260801,UrCas13d,6IV9,conservation_esm_if1,20260801,0.44577006507592193,0.3122476446837147,-1499.1376361192779,-1.7152604532257183,5.5581229549102416,0,0.49740932642487046,1.0,0.46206896551724136,1.0,False,False,True,False,2
conservation_rna_esm_if1-UrCas13d-6IV9-seed20260801,UrCas13d,6IV9,conservation_rna_esm_if1,20260801,0.46203904555314534,0.33243606998654107,-1521.1366418562939,-1.740430940339009,5.699799166879624,0,0.5181347150259067,1.0,0.5586206896551724,1.0,False,False,True,False,2
proteinmpnn-UrCas13d-6IV9-seed20260801,UrCas13d,6IV9,proteinmpnn,20260801,0.45010845986984815,0.31763122476446837,-2641.944600867566,-3.0228199094594577,20.549156820327322,0,0.49222797927461137,1.0,0.3310344827586207,1.0,False,False,True,False,2
ligandmpnn-UrCas13d-6IV9-seed20260801,UrCas13d,6IV9,ligandmpnn,20260801,0.49349240780911063,0.3714670255720054,-2562.729420280126,-2.9321846913960252,18.768589314784748,0,0.5716753022452504,1.0,0.496551724137931,1.0,True,False,True,False,2
esm_ligand_consensus-UrCas13d-6IV9-seed20260801,UrCas13d,6IV9,esm_ligand_consensus,20260801,0.3839479392624729,0.23553162853297444,-1759.9586760375405,-2.0136826956951266,7.49085314584828,0,0.44559585492227977,1.0,0.43448275862068964,1.0,True,False,True,False,2
common_safety_mask_esm_if1-UrCas13d-6IV9-seed20260802,UrCas13d,6IV9,common_safety_mask_esm_if1,20260802,0.420824295010846,0.2812920592193809,-1530.944202280366,-1.75165240535511,5.764119472921763,0,0.459412780656304,1.0,0.38620689655172413,1.0,False,False,True,False,2
conservation_esm_if1-UrCas13d-6IV9-seed20260802,UrCas13d,6IV9,conservation_esm_if1,20260802,0.4436008676789588,0.30955585464333785,-1594.1204028090133,-1.8239363876533332,6.196201157016887,0,0.4939550949913644,1.0,0.45517241379310347,1.0,False,False,True,False,2
conservation_rna_esm_if1-UrCas13d-6IV9-seed20260802,UrCas13d,6IV9,conservation_rna_esm_if1,20260802,0.46203904555314534,0.33243606998654107,-1605.4397970781429,-1.836887639677509,6.276971630171562,0,0.5060449050086355,1.0,0.5586206896551724,1.0,False,False,True,False,2
proteinmpnn-UrCas13d-6IV9-seed20260802,UrCas13d,6IV9,proteinmpnn,20260802,0.46637744034707157,0.33781965006729475,-2680.036791408448,-3.06640365149708,21.46456962721278,0,0.5164075993091537,1.0,0.41379310344827586,1.0,False,False,True,False,2
ligandmpnn-UrCas13d-6IV9-seed20260802,UrCas13d,6IV9,ligandmpnn,20260802,0.4891540130151844,0.36608344549125166,-2587.2638803467253,-2.960256156003118,19.30291567999687,0,0.5613126079447323,1.0,0.5172413793103449,1.0,True,False,True,False,2
esm_ligand_consensus-UrCas13d-6IV9-seed20260802,UrCas13d,6IV9,esm_ligand_consensus,20260802,0.3839479392624729,0.23553162853297444,-1925.7314876333985,-2.2033541048437053,9.055335163520667,0,0.4369602763385147,1.0,0.4482758620689655,1.0,True,False,True,False,2
common_safety_mask_esm_if1-DjCas13d-9M33-seed20260801,DjCas13d,9M33,common_safety_mask_esm_if1,20260801,0.31014823261117447,0.18900804289544235,-1583.002777042857,-2.110670369390476,8.253772506883038,0,0.24517906336088155,0.1044776119402985,0.17647058823529413,1.0,False,False,False,False,2
conservation_esm_if1-DjCas13d-9M33-seed20260801,DjCas13d,9M33,conservation_esm_if1,20260801,0.338654503990878,0.2225201072386059,-1595.799169312988,-2.1277322257506506,8.395805414814731,0,0.3002754820936639,0.19402985074626866,0.2235294117647059,1.0,False,False,False,False,2
conservation_rna_esm_if1-DjCas13d-9M33-seed20260801,DjCas13d,9M33,conservation_rna_esm_if1,20260801,0.3660205245153934,0.2546916890080429,-1621.9451771101885,-2.162593569480251,8.693656045331279,0,0.3168044077134986,0.208955223880597,0.5176470588235295,1.0,False,False,False,False,2
proteinmpnn-DjCas13d-9M33-seed20260801,DjCas13d,9M33,proteinmpnn,20260801,0.33181299885974913,0.21447721179624665,-2107.1156906700926,-2.8094875875601235,16.601409270297772,0,0.30578512396694213,0.08955223880597014,0.18823529411764706,1.0,False,False,False,False,2
ligandmpnn-DjCas13d-9M33-seed20260801,DjCas13d,9M33,ligandmpnn,20260801,0.3660205245153934,0.2546916890080429,-2072.3875092050002,-2.763183345606667,15.850219449260697,0,0.3691460055096419,0.13432835820895522,0.2,1.0,True,False,False,False,2
esm_ligand_consensus-DjCas13d-9M33-seed20260801,DjCas13d,9M33,esm_ligand_consensus,20260801,0.443557582668187,0.34584450402144773,-1524.219832533643,-2.0322931100448574,7.631566330781739,0,0.45454545454545453,0.26865671641791045,0.5647058823529412,1.0,True,False,False,False,2
common_safety_mask_esm_if1-DjCas13d-9M33-seed20260802,DjCas13d,9M33,common_safety_mask_esm_if1,20260802,0.3090079817559863,0.1876675603217158,-1515.8563790119515,-2.021141838682602,7.546937400761504,0,0.2644628099173554,0.1044776119402985,0.2235294117647059,1.0,False,False,False,False,2
conservation_esm_if1-DjCas13d-9M33-seed20260802,DjCas13d,9M33,conservation_esm_if1,20260802,0.3329532497149373,0.2158176943699732,-1515.8035213962576,-2.0210713618616767,7.546405535348087,0,0.31129476584022037,0.1791044776119403,0.25882352941176473,1.0,False,False,False,False,2
conservation_rna_esm_if1-DjCas13d-9M33-seed20260802,DjCas13d,9M33,conservation_rna_esm_if1,20260802,0.35347776510832385,0.23994638069705093,-1564.2803278843057,-2.085707103845741,8.050281854877097,0,0.31955922865013775,0.1791044776119403,0.49411764705882355,1.0,False,False,False,False,2
proteinmpnn-DjCas13d-9M33-seed20260802,DjCas13d,9M33,proteinmpnn,20260802,0.3329532497149373,0.2158176943699732,-2084.089772382533,-2.7787863631767102,16.09947017681729,0,0.3002754820936639,0.13432835820895522,0.2235294117647059,1.0,False,False,False,False,2
ligandmpnn-DjCas13d-9M33-seed20260802,DjCas13d,9M33,ligandmpnn,20260802,0.35917901938426455,0.24664879356568364,-2091.12492186889,-2.7881665624918535,16.25119691696489,0,0.30578512396694213,0.1791044776119403,0.27058823529411763,1.0,True,False,False,False,2
esm_ligand_consensus-DjCas13d-9M33-seed20260802,DjCas13d,9M33,esm_ligand_consensus,20260802,0.443557582668187,0.34584450402144773,-1508.1557363528264,-2.010874315137102,7.469845492060976,0,0.4380165289256198,0.2537313432835821,0.5764705882352941,1.0,True,False,False,False,2
common_safety_mask_esm_if1-CasRx-9M8Q-seed20260801,CasRx,9M8Q,common_safety_mask_esm_if1,20260801,0.32885211995863495,0.1927860696517413,-1970.9493527637096,-2.1802537088094134,8.848550929283796,0,0.34811529933481156,0.8264462809917356,0.20833333333333334,1.0,False,False,False,False,2
conservation_esm_if1-CasRx-9M8Q-seed20260801,CasRx,9M8Q,conservation_esm_if1,20260801,0.34643226473629785,0.21393034825870647,-1974.9303119439282,-2.1846574247167347,8.887603358558808,0,0.3858093126385809,0.8429752066115702,0.2638888888888889,1.0,False,False,False,False,2
conservation_rna_esm_if1-CasRx-9M8Q-seed20260801,CasRx,9M8Q,conservation_rna_esm_if1,20260801,0.3733195449844881,0.2462686567164179,-1974.68699663812,-2.1843882706173896,8.885211545579072,0,0.4190687361419069,0.8429752066115702,0.3888888888888889,1.0,False,False,False,False,2
proteinmpnn-CasRx-9M8Q-seed20260801,CasRx,9M8Q,proteinmpnn,20260801,0.31954498448810753,0.18159203980099503,-2553.277454564508,-2.8244219630138363,16.85120155256917,0,0.3370288248337029,0.8181818181818182,0.2152777777777778,1.0,False,False,False,False,2
ligandmpnn-CasRx-9M8Q-seed20260801,CasRx,9M8Q,ligandmpnn,20260801,0.344364012409514,0.21144278606965175,-2474.8717705404124,-2.737690011659748,15.451251629177602,0,0.3458980044345898,0.8347107438016529,0.2361111111111111,1.0,True,False,False,False,2
esm_ligand_consensus-CasRx-9M8Q-seed20260801,CasRx,9M8Q,esm_ligand_consensus,20260801,0.39193381592554294,0.26865671641791045,-1952.2945663337305,-2.1596178831125337,8.667824903300765,0,0.4611973392461197,0.8429752066115702,0.4236111111111111,1.0,True,False,False,False,2
common_safety_mask_esm_if1-CasRx-9M8Q-seed20260802,CasRx,9M8Q,common_safety_mask_esm_if1,20260802,0.3112719751809721,0.17164179104477612,-1990.8706686105434,-2.2022905626222826,9.04570955177469,0,0.328159645232816,0.8181818181818182,0.22916666666666666,1.0,False,False,False,False,2
conservation_esm_if1-CasRx-9M8Q-seed20260802,CasRx,9M8Q,conservation_esm_if1,20260802,0.33815925542916236,0.20398009950248755,-1996.1220407183428,-2.2080996025645385,9.098409359314543,0,0.37250554323725055,0.8429752066115702,0.2777777777777778,1.0,False,False,False,False,2
conservation_rna_esm_if1-CasRx-9M8Q-seed20260802,CasRx,9M8Q,conservation_rna_esm_if1,20260802,0.35470527404343327,0.22388059701492538,-1982.4996283824876,-2.1930305623700086,8.962332908689362,0,0.3968957871396896,0.8429752066115702,0.4027777777777778,1.0,False,False,False,False,2
proteinmpnn-CasRx-9M8Q-seed20260802,CasRx,9M8Q,proteinmpnn,20260802,0.32368148914167527,0.1865671641791045,-2597.868741487662,-2.8737486078403345,17.70325653775236,0,0.3370288248337029,0.7933884297520661,0.19444444444444445,1.0,False,False,False,False,2
ligandmpnn-CasRx-9M8Q-seed20260802,CasRx,9M8Q,ligandmpnn,20260802,0.3505687693898656,0.21890547263681592,-2512.56465325311,-2.7793856783773343,16.109121725887398,0,0.36807095343680707,0.8347107438016529,0.24305555555555555,1.0,True,False,False,False,2
esm_ligand_consensus-CasRx-9M8Q-seed20260802,CasRx,9M8Q,esm_ligand_consensus,20260802,0.39193381592554294,0.26865671641791045,-2003.5195881724067,-2.216282730279211,9.17316826877761,0,0.458980044345898,0.859504132231405,0.4166666666666667,1.0,True,False,False,False,2
